season,week,eliminated,num_survivors,survivors,rule_type
1,2,Trista Sutter,5,John O'Hurley; Kelly Monaco; Evander Holyfield; Rachel Hunter; Joey McIntyre,RANK
1,3,Evander Holyfield,4,John O'Hurley; Kelly Monaco; Rachel Hunter; Joey McIntyre,RANK
1,4,Rachel Hunter,3,John O'Hurley; Kelly Monaco; Joey McIntyre,RANK
2,1,Kenny Mayne,9,Tatum O'Neal; Tia Carrere; George Hamilton; Lisa Rinna; Stacy Keibler; Jerry Rice; Giselle Fernandez; Master P; Drew Lachey,RANK
2,2,Tatum O'Neal,8,Tia Carrere; George Hamilton; Lisa Rinna; Stacy Keibler; Jerry Rice; Giselle Fernandez; Master P; Drew Lachey,RANK
2,3,Giselle Fernandez,7,Tia Carrere; George Hamilton; Lisa Rinna; Stacy Keibler; Jerry Rice; Master P; Drew Lachey,RANK
2,4,Master P,6,Tia Carrere; George Hamilton; Lisa Rinna; Stacy Keibler; Jerry Rice; Drew Lachey,RANK
2,5,Tia Carrere,5,George Hamilton; Lisa Rinna; Stacy Keibler; Jerry Rice; Drew Lachey,RANK
2,6,George Hamilton,4,Lisa Rinna; Stacy Keibler; Jerry Rice; Drew Lachey,RANK
2,7,Lisa Rinna,3,Stacy Keibler; Jerry Rice; Drew Lachey,RANK
3,1,Tucker Carlson,10,Harry Hamlin; Vivica A. Fox; Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith; Shanna Moakler; Willa Ford; Sara Evans; Jerry Springer,PERCENTAGE
3,2,Shanna Moakler,9,Harry Hamlin; Vivica A. Fox; Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith; Willa Ford; Sara Evans; Jerry Springer,PERCENTAGE
3,3,Harry Hamlin,8,Vivica A. Fox; Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith; Willa Ford; Sara Evans; Jerry Springer,PERCENTAGE
3,4,Vivica A. Fox,7,Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith; Willa Ford; Sara Evans; Jerry Springer,PERCENTAGE
3,5,Willa Ford,6,Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith; Sara Evans; Jerry Springer,PERCENTAGE
3,7,Jerry Springer,4,Monique Coleman; Joey Lawrence; Mario Lopez; Emmitt Smith,PERCENTAGE
3,8,Monique Coleman,3,Joey Lawrence; Mario Lopez; Emmitt Smith,PERCENTAGE
4,2,Paulina Porizkova,10,John Ratzenberger; Ian Ziering; Clyde Drexler; Laila Ali; Apolo Anton Ohno; Shandi Finnessey; Heather Mills; Billy Ray Cyrus; Joey Fatone; Leeza Gibbons,PERCENTAGE
4,3,Shandi Finnessey,9,John Ratzenberger; Ian Ziering; Clyde Drexler; Laila Ali; Apolo Anton Ohno; Heather Mills; Billy Ray Cyrus; Joey Fatone; Leeza Gibbons,PERCENTAGE
4,4,Leeza Gibbons,8,John Ratzenberger; Ian Ziering; Clyde Drexler; Laila Ali; Apolo Anton Ohno; Heather Mills; Billy Ray Cyrus; Joey Fatone,PERCENTAGE
4,5,Clyde Drexler,7,John Ratzenberger; Ian Ziering; Laila Ali; Apolo Anton Ohno; Heather Mills; Billy Ray Cyrus; Joey Fatone,PERCENTAGE
4,6,Heather Mills,6,John Ratzenberger; Ian Ziering; Laila Ali; Apolo Anton Ohno; Billy Ray Cyrus; Joey Fatone,PERCENTAGE
4,7,John Ratzenberger,5,Ian Ziering; Laila Ali; Apolo Anton Ohno; Billy Ray Cyrus; Joey Fatone,PERCENTAGE
4,8,Billy Ray Cyrus,4,Ian Ziering; Laila Ali; Apolo Anton Ohno; Joey Fatone,PERCENTAGE
4,9,Ian Ziering,3,Laila Ali; Apolo Anton Ohno; Joey Fatone,PERCENTAGE
