season,week,name,zscore
1,1,John O'Hurley,0.7399
1,1,Rachel Hunter,0.7399
1,1,Joey McIntyre,0.7399
1,1,Evander Holyfield,-0.0673
1,1,Trista Sutter,-0.0673
1,1,Kelly Monaco,-2.0853
1,2,John O'Hurley,1.4373
1,2,Rachel Hunter,0.9445
1,2,Joey McIntyre,0.2053
1,2,Trista Sutter,-0.2875
1,2,Kelly Monaco,-0.7802
1,2,Evander Holyfield,-1.5194
1,3,Rachel Hunter,1.0798
1,3,John O'Hurley,0.6299
1,3,Joey McIntyre,0.18
1,3,Kelly Monaco,-0.045
1,3,Evander Holyfield,-1.8447
1,4,Kelly Monaco,1.1767
1,4,Rachel Hunter,0.7845
1,4,John O'Hurley,-0.7845
1,4,Joey McIntyre,-1.1767
1,5,John O'Hurley,1.3822
1,5,Kelly Monaco,-0.4319
1,5,Joey McIntyre,-0.9503
1,6,Kelly Monaco,1.0
1,6,John O'Hurley,-1.0
2,1,Drew Lachey,1.1448
2,1,Tatum O'Neal,0.8904
2,1,Giselle Fernandez,0.8904
2,1,Stacy Keibler,0.636
2,1,Jerry Rice,0.3816
2,1,Tia Carrere,0.1272
2,1,Lisa Rinna,-0.1272
2,1,George Hamilton,-0.3816
2,1,Kenny Mayne,-1.6537
2,1,Master P,-1.9081
2,2,Stacy Keibler,1.6971
2,2,Drew Lachey,1.1963
2,2,Giselle Fernandez,0.4451
2,2,Jerry Rice,0.1947
2,2,Tia Carrere,-0.0556
2,2,George Hamilton,-0.0556
2,2,Lisa Rinna,-0.5564
2,2,Tatum O'Neal,-1.3076
2,2,Master P,-1.558
2,3,Stacy Keibler,1.0035
2,3,Drew Lachey,1.0035
2,3,Tia Carrere,0.7674
2,3,Lisa Rinna,0.5313
2,3,George Hamilton,-0.1771
2,3,Giselle Fernandez,-0.1771
2,3,Jerry Rice,-0.8854
2,3,Master P,-2.066
2,4,Drew Lachey,0.865
2,4,Lisa Rinna,0.5463
2,4,Stacy Keibler,0.5463
2,4,Tia Carrere,0.387
2,4,Jerry Rice,0.2276
2,4,George Hamilton,-0.2504
2,4,Master P,-2.3218
2,5,Stacy Keibler,1.809
2,5,Drew Lachey,0.6862
2,5,Lisa Rinna,-0.0624
2,5,George Hamilton,-0.4366
2,5,Jerry Rice,-0.8109
2,5,Tia Carrere,-1.1852
2,6,Stacy Keibler,1.0839
2,6,Drew Lachey,1.0839
2,6,Lisa Rinna,0.1275
2,6,George Hamilton,-1.1476
2,6,Jerry Rice,-1.1476
2,7,Stacy Keibler,0.686
2,7,Drew Lachey,0.686
2,7,Lisa Rinna,0.343
2,7,Jerry Rice,-1.715
2,8,Drew Lachey,0.8627
2,8,Stacy Keibler,0.5392
2,8,Jerry Rice,-1.4018
3,1,Mario Lopez,1.6906
3,1,Emmitt Smith,1.188
3,1,Vivica A. Fox,0.6854
3,1,Willa Ford,0.6854
3,1,Joey Lawrence,0.4341
3,1,Monique Coleman,-0.0685
3,1,Shanna Moakler,-0.3198
3,1,Harry Hamlin,-0.5711
3,1,Jerry Springer,-0.8224
3,1,Sara Evans,-1.0737
3,1,Tucker Carlson,-1.8276
3,2,Joey Lawrence,2.1764
3,2,Monique Coleman,1.0882
3,2,Vivica A. Fox,0.3627
3,2,Emmitt Smith,0.3627
3,2,Willa Ford,0.0
3,2,Shanna Moakler,-0.3627
3,2,Harry Hamlin,-0.7255
3,2,Mario Lopez,-0.7255
3,2,Sara Evans,-0.7255
3,2,Jerry Springer,-1.451
3,3,Vivica A. Fox,1.5492
3,3,Monique Coleman,1.5492
3,3,Sara Evans,0.7746
3,3,Harry Hamlin,-0.3873
